Board Game,Date Last Played by Group,Game Length (minutes),Number of Players Supported
Gaia Project,,180,4
Everdell,,120,4
Lewis & Clark: The Expedition,,120,5
Dune Imperium Uprising,2/28/2025,120,4
Ierusalem: Anno Domini,,120,4
Scythe,7/20/2024,120,6
Acquire,1/18/2025,120,6
Among the Stars,7/25/2024,45,4
Carcassonne,8/31/2024,45,5
Cities,,45,4
Terraforming Mars,8/1/2024,120,5
Earth,,75,5
Viticulture,3/1/2025,100,6
Wingspan,12/15/2024,120,5
Trails,8/31/2024,45,4
Castles of Burgundy,,120,4
Rebirth,,45,4
First in Flight,,90,4
Trailblazer: The Arizona Trail,,100,4
Spirt Island,2/15/2025,150,6
